X,Y,ID,CVE_ENT,CVE_MUN,CVE_LOC,NOMVIAL,TIPOVIAL,SENTIDO,NOMVIAL_2,TIPOVIAL_2,SENTIDO_2,freq,RANGO,ETIQUETA
-101.184962033146,19.7250719413594,13267.000000000000000,"16","053","0001",Pablo José Peguero,Calle,Dos sentidos,Pablo José Peguero,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.186432163656,19.7256958410708,13268.000000000000000,"16","053","0001",Pablo José Peguero,Calle,Dos sentidos,Pablo José Peguero,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.147459419732,19.6981120003768,13271.000000000000000,"16","053","0001",Cedrón,Privada,Dos sentidos,Cangome,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.175607458386,19.7181485319393,13275.000000000000000,"16","053","0001",Ingeniero Pascual Ortiz Rubio,Avenida,Dos sentidos,Ninguno,Calle,Dos sentidos,"7",4.000000000000000,Medio (6-10)
-101.147974139903,19.6992195799341,13292.000000000000000,"16","053","0001",Herodoto,Privada,Dos sentidos,Herodoto,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.152425309985,19.717851280008,13294.000000000000000,"16","053","0001",Francisco I. Madero Oriente,Avenida,Dos sentidos,Fray Toribio de Benavente (Quinta),Calle,Dos sentidos,"5",2.000000000000000,Bajo (3-5)
-101.174854066884,19.7174470267109,13296.000000000000000,"16","053","0001",Pintor Carlos Alvarado Lang,Calle,Dos sentidos,Pintor Carlos Alvarado Lang,Calle,Dos sentidos,"6",4.000000000000000,Medio (6-10)
-101.170859227938,19.716009822034,13310.000000000000000,"16","053","0001",Jitomate,Avenida,Dos sentidos,Jitomate,Avenida,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.170153657957,19.7159318219882,13311.000000000000000,"16","053","0001",Jitomate,Avenida,Dos sentidos,Jitomate,Avenida,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.151220599616,19.7051657100781,13332.000000000000000,"16","053","0001",Lechuguilla,Calle,Dos sentidos,Diego Calero,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.193158893856,19.7244702708624,13335.000000000000000,"16","053","0001",Francisco Camarillo,Calle,Dos sentidos,Juan de Michelena,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.140944185374,19.6947137941918,13338.000000000000000,"16","053","0001",Wenceslao Victoria Soto,Andador,Un sentido,Wenceslao Victoria Soto,Andador,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.183116375254,19.7292995643047,13355.000000000000000,"16","053","0001",Trabajadores de Asentamientos Humanos,Calle,Dos sentidos,Morelos Norte,Avenida,Un sentido,"3",2.000000000000000,Bajo (3-5)
-101.164273748248,19.7166673017167,13358.000000000000000,"16","053","0001",Luis Mora Tovar,Calle,Dos sentidos,Ernesto Soto Reyes,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.164478573592,19.7177659569828,13359.000000000000000,"16","053","0001",Luis Mora Tovar,Calle,Dos sentidos,Ley del 6 de Enero de 1915,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.191153086793,19.6743879611724,13370.000000000000000,"16","053","0001",Manuel José Othón,Calle,Un sentido,Luis Gonzaga Urbina,Calle,Un sentido,"2",1.000000000000000,Muy bajo (1-2)
-101.163683482113,19.6921710436392,13385.000000000000000,"16","053","0001",Heroico Colegio Militar,Calle,Dos sentidos,Heroico Colegio Militar,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.178198939553,19.7081600583358,13388.000000000000000,"16","053","0001",16 de Septiembre,Calle,Dos sentidos,Toma de Granaditas,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.187438561963,19.7057264443636,13391.000000000000000,"16","053","0001",Plan de Ayala,Calle,Un sentido,Serapio Rendón,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.168536412042,19.709524464042,13395.000000000000000,"16","053","0001",Chiapas,Calle,Dos sentidos,Chiapas,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.168573004411,19.709015079359,13396.000000000000000,"16","053","0001",Chiapas,Calle,Dos sentidos,Francisco I. Madero Oriente,Avenida,Dos sentidos,"5",2.000000000000000,Bajo (3-5)
-101.195677139553,19.7141099502113,13397.000000000000000,"16","053","0001",Paseo de las Yucas,Calle,Dos sentidos,Paseo del Roble,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.190047884821,19.6923654373763,13398.000000000000000,"16","053","0001",Vasco de Quiroga,Calle,Un sentido,Lago de Pátzcuaro,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.172127842326,19.7108328336493,13400.000000000000000,"16","053","0001",Aguascalientes,Calle,Dos sentidos,Jalisco,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.186781857021,19.6648220905694,13401.000000000000000,"16","053","0001",Congreso Insurgente (México),Calle,Dos sentidos,Tenancingo,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.183495081619,19.6909480142043,13403.000000000000000,"16","053","0001",Gertrudis Bocanegra,Calle,Dos sentidos,Gertrudis Bocanegra,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.20214524988,19.6510336003354,13406.000000000000000,"16","053","0001",Loma del Molino,Calle,Dos sentidos,Loma del Zapote,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.183966057416,19.6738297811625,13407.000000000000000,"16","053","0001",Carlos López,Privada,Dos sentidos,José Peón del Valle,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.186305882751,19.7165592922497,13408.000000000000000,"16","053","0001",Licenciado Enrique Estrada Aceves,Calle,Dos sentidos,Licenciado Adolfo Cano (Licenciado José Cruz Rodríguez Loaiza),Andador,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.185520735177,19.717199738978,13409.000000000000000,"16","053","0001",Licenciado Enrique Estrada Aceves,Calle,Dos sentidos,Doctor José Gallegos del Río,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.173651280383,19.7039453536906,13414.000000000000000,"16","053","0001",Tejedores de Aranza,Calle,Dos sentidos,Platanares de Ziracuaretiro,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.176097169561,19.7424148895982,13416.000000000000000,"16","053","0001",Morelos Norte,Avenida,Dos sentidos,Mezquite,Calle,Dos sentidos,"5",2.000000000000000,Bajo (3-5)
-101.167531185048,19.7028148055582,13427.000000000000000,"16","053","0001",Tariácuri,Calle,Dos sentidos,Tariácuri,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.186627192147,19.703786043947,13430.000000000000000,"16","053","0001",Doctor Miguel Silva G.,Calle,Un sentido,Aquiles Serdán,Calle,Un sentido,"5",2.000000000000000,Bajo (3-5)
